"Year","State","type","production","Avg","Measures","Materials","Chemical","Value"
"2019","CALIFORNIA",NA,"ACRES HARVESTED",NA,NA,NA,NA,"35,400"
"2019","CALIFORNIA",NA,"ACRES PLANTED",NA,NA,NA,NA,"36,000"
"2019","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN $",NA,NA,"2,221,320,000"
"2019","CALIFORNIA",NA,"PRODUCTION",NA,"MEASURED IN CWT",NA,NA,"20,500,000"
"2019","CALIFORNIA",NA,"YIELD",NA,"MEASURED IN CWT / ACRE",NA,NA,"580"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(AZOXYSTROBIN = 128810)","FUNGICIDE","5,500"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(BLAD = 30006)","FUNGICIDE","1,200"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(BORAX DECAHYDRATE = 11102)","FUNGICIDE","300"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(BOSCALID = 128008)","FUNGICIDE","6,200"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(CAPTAN = 81301)","FUNGICIDE","283,500"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(CYFLUFENAMID = 555550)","FUNGICIDE","400"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(CYPRODINIL = 288202)","FUNGICIDE","16,600"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(DIFENOCONAZOLE = 128847)","FUNGICIDE","900"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(FENHEXAMID = 90209)","FUNGICIDE","15,000"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(FLUDIOXONIL = 71503)","FUNGICIDE","11,100"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(FLUOPYRAM = 80302)","FUNGICIDE","3,900"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(FLUXAPYROXAD = 138009)","FUNGICIDE","3,900"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(FOSETYL-AL = 123301)","FUNGICIDE","34,200"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(MEFENOXAM = 113502)","FUNGICIDE","9,300"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(MYCLOBUTANIL = 128857)","FUNGICIDE","5,600"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(PENTHIOPYRAD = 90112)","FUNGICIDE","7,000"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","1,400"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","11,300"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(PROPICONAZOLE = 122101)","FUNGICIDE","1,600"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(PYRACLOSTROBIN = 99100)","FUNGICIDE","7,400"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(PYRIMETHANIL = 288201)","FUNGICIDE","9,300"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(QUINOLINE = 55459)","FUNGICIDE","4,800"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(SULFUR = 77501)","FUNGICIDE","686,000"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(TETRACONAZOLE = 120603)","FUNGICIDE","600"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","3,300"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(THIRAM = 79801)","FUNGICIDE","90,900"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(TOTAL)","FUNGICIDE","1,233,500"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","4,200"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(TRIFLUMIZOLE = 128879)","FUNGICIDE","7,200"
"2019","CALIFORNIA","BEARING","APPLICATIONS",NA,"MEASURED IN LB","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE","200"
